algorithm_id,algorithm_name,saturation_status,cycles_completed,source_families_covered_count,new_fact_count,source_count,final_reason,certificate_path
AW-000002,Karpinski,SATURATED_NO_RECOVERY,3,17,15,4,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000002.saturation.yaml
AW-000004,Larmore,SATURATED_NO_RECOVERY,3,17,15,4,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000004.saturation.yaml
AW-000009,Klinz,SATURATED_NO_RECOVERY,3,17,16,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000009.saturation.yaml
AW-000015,"Lawrence, Reilly",BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,1,6,24,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",source_saturation_certificates\AW-000015.saturation.yaml
AW-000100,Psinger,SATURATED_NO_RECOVERY,3,17,18,1,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000100.saturation.yaml
AW-000133,UKF,RECOVERED_CONTEXT_AND_PROBE,1,6,28,3,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000133.saturation.yaml
AW-000134,Compressed Extended KF,RECOVERED_CONTEXT_AND_PROBE,1,6,24,2,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000134.saturation.yaml
AW-000174,Harrow (Quantum),SATURATED_NO_RECOVERY,4,17,29,2,The row has partial metadata but still lacks one or more source-backed fields required for a public context card.,source_saturation_certificates\AW-000174.saturation.yaml
AW-000237,Williams' p + 1 algorithm,RECOVERED_CONTEXT_AND_PROBE,1,6,24,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000237.saturation.yaml
AW-000261,Covanov and Thomé,RECOVERED_CONTEXT_AND_PROBE,1,6,18,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000261.saturation.yaml
AW-000263,Harvey Hoeven Lecerf,RECOVERED_CONTEXT_AND_PROBE,1,6,25,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000263.saturation.yaml
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,SATURATED_NO_RECOVERY,3,17,11,2,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",source_saturation_certificates\AW-000284.saturation.yaml
AW-000287,J. J. Koenderink and W. Richards 1988,RECOVERED_CONTEXT_AND_PROBE,1,6,18,1,"Source-saturation pass found enough task, input, output, and access semantics for a context card.",source_saturation_certificates\AW-000287.saturation.yaml
