probe_id,parent_algorithm_id,parent_algorithm_name,public_probe_path,metadata_probe_path,evidence_path,source_pass,merge_action,card_digest,confidence_score,introduced_assumptions,not_end_to_end_claim,original_output_contract,probe_output_contract,probe_type,source_count
AW-000001-P0001,AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000001-P0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000001-P0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000001-P0001.evidence.yaml,v1,include,98aeb23c37da9f52,100,coherent_estimation_oracle; bounded_random_variable; coherent_sampler,True,approximation_solution,additive_estimate,estimation_sampling_probe,1
AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0002.evidence.yaml,v1,include,cd50d8fde25f64fe,75,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0003.evidence.yaml,v1,include,5d83d09ab165365b,75,local_graph_transition_oracle; marked_vertex_or_edge; query_model_subroutine,True,one_witness,one_witness,graph_walk_probe,3
AW-000006-P0004,AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000006-P0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000006-P0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000006-P0004.evidence.yaml,v1,include,12d44922edd69a4d,70,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000007-P0005,AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000007-P0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000007-P0005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000007-P0005.evidence.yaml,v1,include,71e4d74c6d75d0b7,65,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000008-P0006,AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000008-P0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000008-P0006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000008-P0006.evidence.yaml,v1,include,d8f42511523d818b,65,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000011-P0007,AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000011-P0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000011-P0007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000011-P0007.evidence.yaml,v1,include,4302527c545bffa4,70,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000012-P0008,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012-P0008.evidence.yaml,v1,include,9781426e6e598556,65,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,one_witness,one_witness,search_witness_probe,3
AW-000012-P0009,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0009.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012-P0009.evidence.yaml,v1,include,ee4585c0235ba9fc,65,local_graph_transition_oracle; marked_vertex_or_edge; query_model_subroutine,True,one_witness,one_witness,graph_walk_probe,3
AW-000014-P0010,AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000014-P0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000014-P0010.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000014-P0010.evidence.yaml,v1,include,cd5f17f5a2d97c71,100,coherent_boolean_oracle; marked_item_exists; candidate_indexing,True,full_solution,one_witness,search_witness_probe,2
