fact_id,fact_type,value,source_id,reliability,confidence,conflict_status,notes
AW-000002-F6550f2c06b,alias,Karpinski,AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000002-F07f217b1dc,time_complexity,O(n^{0.6}),AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000002-Ff5ce010d98,space_complexity,O(1),AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000002-Fe7603b3dc2,input_semantics,Parameter definitions: n: number of elements,AW-000002:algorithm_wiki_metadata,HIGH,75,weak,AlgorithmWiki parameter metadata
AW-000002-F6ea9c3a7f4,authoritative_source_link,https://citeseerx.ist.psu.edu/pdf/4af91d48d513fbcf64e277c07c17615c31726ec6,AW-000002:algorithm_wiki_metadata,HIGH,70,consistent,Original source link from AlgorithmWiki metadata
AW-000002-F202ea47b61,source_title,AlgorithmWiki metadata for Karpinski,AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-Fc0076b3cde,problem_definition,Source title indicates: AlgorithmWiki metadata for Karpinski,AW-000002:algorithm_wiki_metadata,HIGH,85,weak,previous_source_record
AW-000002-F4666038e85,problem_definition,AlgorithmWiki row name: Karpinski,AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-F5fad5c709d,problem_definition,domain: unknown,AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-F7c170eaae4,time_complexity,time complexity: O(n^{0.6}),AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-Fc78b2c41ef,space_complexity,space complexity: O(1),AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-F2fa7f3333f,problem_definition,precard summary: No public-ready summary is available because the row lacks enough task semantics.,AW-000002:algorithm_wiki_metadata,HIGH,85,consistent,previous_source_record
AW-000002-F33320dac78,source_title,"Karpinski, Janis",crossref_search:15d4ac764b07cd5b,MEDIUM,70,consistent,previous_source_record
AW-000002-Fd697e2ae05,problem_definition,"Crossref title-search result: Karpinski, Janis",crossref_search:15d4ac764b07cd5b,MEDIUM,70,consistent,previous_source_record
AW-000002-F027153a17a,authoritative_source_link,https://doi.org/10.4135/9781412995962.n442,crossref_search:15d4ac764b07cd5b,MEDIUM,70,consistent,previous_source_record
AW-000004-F7cf98b422c,alias,Larmore,AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
AW-000004-Fc4ec29bbde,time_complexity,O(n^{1.6}),AW-000004:algorithm_wiki_metadata,HIGH,85,consistent,AlgorithmWiki metadata
