id,kind,public_path,metadata_path,public_field_set_exactly_seven,public_validation_ok,leakage_free,concrete_problem_task,concrete_input,concrete_output,complexity_included,no_generic_template_phrase,known_input_access_output,source_trace_present,probe_assumptions_explicit,probe_not_end_to_end_explicit,parent_trace_present,recommended_action,severity,issue_codes,human_review_summary
AW-000133,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000133.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000133.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000134,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000134.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000134.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000237,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000237.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000237.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000261,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000261.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000261.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000263,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000263.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000263.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000287,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000287.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000287.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000292,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000292.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000292.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000298,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000298.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000298.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000299,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000299.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000299.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000300,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000300.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000300.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000301,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000301.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000301.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000307,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000307.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000307.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000309,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000309.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000309.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000311,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000311.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000311.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000313,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000313.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000313.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000319,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000319.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000319.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000320,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000320.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000320.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000321,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000321.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000321.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000324,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000324.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000324.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000325,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000325.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000325.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000330,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000330.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000330.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000331,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000331.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000331.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000333,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000333.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000333.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000334,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000334.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000334.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000335,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000335.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000335.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000337,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000337.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000337.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000342,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000342.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000342.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000345,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000345.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000345.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000346,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000346.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000346.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000347,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000347.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000347.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000351,context,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000351.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000351.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
