id,kind,public_path,metadata_path,public_field_set_exactly_seven,public_validation_ok,leakage_free,concrete_problem_task,concrete_input,concrete_output,complexity_included,no_generic_template_phrase,known_input_access_output,source_trace_present,probe_assumptions_explicit,probe_not_end_to_end_explicit,parent_trace_present,recommended_action,severity,issue_codes,human_review_summary
AW-000133-TP0001,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000133-TP0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000133-TP0001.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000133-TP0002,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000133-TP0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000133-TP0002.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000134-TP0003,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000134-TP0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000134-TP0003.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000134-TP0004,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000134-TP0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000134-TP0004.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000237-TP0005,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000237-TP0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000237-TP0005.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000261-TP0006,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000261-TP0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000261-TP0006.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000263-TP0007,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000263-TP0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000263-TP0007.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000287-TP0008,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000287-TP0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000287-TP0008.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000292-TP0009,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000292-TP0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000292-TP0009.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000292-TP0010,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_probe_recovered\AW-000292-TP0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_probe_recovered\AW-000292-TP0010.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
