card_or_probe_id,algorithm_id,algorithm_name,source_id,url,title,source_type,access_status,reliability,digest
AW-000001-P0001,AW-000001,Melhorn's Approximation algorithm,AW-000001:algorithm_wiki_metadata,https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf,AlgorithmWiki metadata for Melhorn's Approximation algorithm,algorithm_wiki,metadata_only,HIGH,aba031d2b3f55988
AW-000001,AW-000001,Melhorn's Approximation algorithm,AW-000001:algorithm_wiki_metadata,https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf,AlgorithmWiki metadata for Melhorn's Approximation algorithm,algorithm_wiki,metadata_only,HIGH,aba031d2b3f55988
AW-000003,AW-000003,Klawe Mumey,AW-000003:algorithm_wiki_metadata,https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec,AlgorithmWiki metadata for Klawe Mumey,algorithm_wiki,metadata_only,HIGH,f35af332065baa24
AW-000003,AW-000003,Klawe Mumey,crossref:7bd682e5ae96bfc7,https://doi.org/10.1137/S0895480193256651,Upper and Lower Bounds on Constructing Alphabetic Binary Trees,doi_metadata,fetched,HIGH,2f7e2f9796eb8d05
AW-000003,AW-000003,Klawe Mumey,failed:8b3833950e09d544,https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec,HTTP Error 403: Forbidden,publisher_abstract,failed,LOW,0a4f41cab52a9b3a
AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),AW-000005:algorithm_wiki_metadata,https://doi.org/10.1109/TPAMI.2018.2889473,AlgorithmWiki metadata for Hierarchical Navigable Small World (HNSW),algorithm_wiki,metadata_only,HIGH,4a5cee27cc469ade
AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),crossref:a65e05e1b63447fb,https://doi.org/10.1109/TPAMI.2018.2889473,Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs,doi_metadata,fetched,HIGH,33254fa50692d009
AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),source:fdca4b1a400ad71d,https://doi.org/10.1109/TPAMI.2018.2889473,https://doi.org/10.1109/TPAMI.2018.2889473,doi_metadata,fetched,HIGH,43403e8a66200810
AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),AW-000005:algorithm_wiki_metadata,https://doi.org/10.1109/TPAMI.2018.2889473,AlgorithmWiki metadata for Hierarchical Navigable Small World (HNSW),algorithm_wiki,metadata_only,HIGH,4a5cee27cc469ade
AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),crossref:a65e05e1b63447fb,https://doi.org/10.1109/TPAMI.2018.2889473,Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs,doi_metadata,fetched,HIGH,33254fa50692d009
AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),source:fdca4b1a400ad71d,https://doi.org/10.1109/TPAMI.2018.2889473,https://doi.org/10.1109/TPAMI.2018.2889473,doi_metadata,fetched,HIGH,43403e8a66200810
AW-000005,AW-000005,Hierarchical Navigable Small World (HNSW),AW-000005:algorithm_wiki_metadata,https://doi.org/10.1109/TPAMI.2018.2889473,AlgorithmWiki metadata for Hierarchical Navigable Small World (HNSW),algorithm_wiki,metadata_only,HIGH,4a5cee27cc469ade
AW-000005,AW-000005,Hierarchical Navigable Small World (HNSW),crossref:a65e05e1b63447fb,https://doi.org/10.1109/TPAMI.2018.2889473,Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs,doi_metadata,fetched,HIGH,33254fa50692d009
AW-000005,AW-000005,Hierarchical Navigable Small World (HNSW),source:fdca4b1a400ad71d,https://doi.org/10.1109/TPAMI.2018.2889473,https://doi.org/10.1109/TPAMI.2018.2889473,doi_metadata,fetched,HIGH,43403e8a66200810
AW-000006-P0004,AW-000006,Pisinger,AW-000006:algorithm_wiki_metadata,https://link.springer.com/article/10.1007/s00453-002-0989-y,AlgorithmWiki metadata for Pisinger,algorithm_wiki,metadata_only,HIGH,4e521cfb79c50ff5
AW-000006-P0004,AW-000006,Pisinger,crossref:f41853efbaf753bb,https://doi.org/10.1007/s00453-002-0989-y,Dynamic Programming on the Word RAM,doi_metadata,fetched,HIGH,d1391547f86f0927
AW-000006-P0004,AW-000006,Pisinger,skipped:2ee4a97772503ad3,https://link.springer.com/article/10.1007/s00453-002-0989-y,robots.txt disallowed fetch,publisher_abstract,skipped,LOW,86638a81af4eeb1c
AW-000006,AW-000006,Pisinger,AW-000006:algorithm_wiki_metadata,https://link.springer.com/article/10.1007/s00453-002-0989-y,AlgorithmWiki metadata for Pisinger,algorithm_wiki,metadata_only,HIGH,4e521cfb79c50ff5
AW-000006,AW-000006,Pisinger,crossref:f41853efbaf753bb,https://doi.org/10.1007/s00453-002-0989-y,Dynamic Programming on the Word RAM,doi_metadata,fetched,HIGH,d1391547f86f0927
AW-000006,AW-000006,Pisinger,skipped:2ee4a97772503ad3,https://link.springer.com/article/10.1007/s00453-002-0989-y,robots.txt disallowed fetch,publisher_abstract,skipped,LOW,86638a81af4eeb1c
AW-000007-P0005,AW-000007,Faaland,AW-000007:algorithm_wiki_metadata,https://doi.org/10.1287/opre.21.1.332,AlgorithmWiki metadata for Faaland,algorithm_wiki,metadata_only,HIGH,2cff02030607fbeb
AW-000007-P0005,AW-000007,Faaland,crossref:429bb6b9ae306424,https://doi.org/10.1287/opre.21.1.332,Technical Note—Solution of the Value-Independent Knapsack Problem by Partitioning,doi_metadata,fetched,HIGH,390fa04595762906
AW-000007-P0005,AW-000007,Faaland,failed:85dfbfea546f83e9,https://doi.org/10.1287/opre.21.1.332,HTTP Error 403: Forbidden,doi_metadata,failed,LOW,0520d35f6680aca9
AW-000007,AW-000007,Faaland,AW-000007:algorithm_wiki_metadata,https://doi.org/10.1287/opre.21.1.332,AlgorithmWiki metadata for Faaland,algorithm_wiki,metadata_only,HIGH,2cff02030607fbeb
AW-000007,AW-000007,Faaland,crossref:429bb6b9ae306424,https://doi.org/10.1287/opre.21.1.332,Technical Note—Solution of the Value-Independent Knapsack Problem by Partitioning,doi_metadata,fetched,HIGH,390fa04595762906
AW-000007,AW-000007,Faaland,failed:85dfbfea546f83e9,https://doi.org/10.1287/opre.21.1.332,HTTP Error 403: Forbidden,doi_metadata,failed,LOW,0520d35f6680aca9
AW-000008-P0006,AW-000008,Pferschy,AW-000008:algorithm_wiki_metadata,https://link.springer.com/article/10.1007/s006070050042,AlgorithmWiki metadata for Pferschy,algorithm_wiki,metadata_only,HIGH,d9cb7a74d406330d
AW-000008-P0006,AW-000008,Pferschy,crossref:bb56616e432499b9,https://doi.org/10.1007/s006070050042,Dynamic Programming Revisited: Improving Knapsack Algorithms,doi_metadata,fetched,HIGH,9eecc31c20965dc2
AW-000008-P0006,AW-000008,Pferschy,skipped:3c28ce093f7c64e6,https://link.springer.com/article/10.1007/s006070050042,robots.txt disallowed fetch,publisher_abstract,skipped,LOW,174c0b962689d6e8
AW-000008,AW-000008,Pferschy,AW-000008:algorithm_wiki_metadata,https://link.springer.com/article/10.1007/s006070050042,AlgorithmWiki metadata for Pferschy,algorithm_wiki,metadata_only,HIGH,d9cb7a74d406330d
AW-000008,AW-000008,Pferschy,crossref:bb56616e432499b9,https://doi.org/10.1007/s006070050042,Dynamic Programming Revisited: Improving Knapsack Algorithms,doi_metadata,fetched,HIGH,9eecc31c20965dc2
AW-000008,AW-000008,Pferschy,skipped:3c28ce093f7c64e6,https://link.springer.com/article/10.1007/s006070050042,robots.txt disallowed fetch,publisher_abstract,skipped,LOW,174c0b962689d6e8
AW-000011-P0007,AW-000011,Serang,AW-000011:algorithm_wiki_metadata,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,AlgorithmWiki metadata for Serang,algorithm_wiki,metadata_only,HIGH,cedfcbc39496304f
AW-000011-P0007,AW-000011,Serang,crossref:e87417444431b72d,https://doi.org/10.1371/journal.pone.0091507,The Probabilistic Convolution Tree: Efficient Exact Bayesian Inference for Faster LC-MS/MS Protein Inference,doi_metadata,fetched,HIGH,abbeb0c09c5836a5
AW-000011-P0007,AW-000011,Serang,source:15c9d3c99a0d3caf,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,The Probabilistic Convolution Tree: Efficient Exact Bayesian Inference for Faster LC-MS/MS Protein Inference | PLOS One,other_public_source,fetched,LOW,99a71bec61fdaf9b
AW-000011,AW-000011,Serang,AW-000011:algorithm_wiki_metadata,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,AlgorithmWiki metadata for Serang,algorithm_wiki,metadata_only,HIGH,cedfcbc39496304f
AW-000011,AW-000011,Serang,crossref:e87417444431b72d,https://doi.org/10.1371/journal.pone.0091507,The Probabilistic Convolution Tree: Efficient Exact Bayesian Inference for Faster LC-MS/MS Protein Inference,doi_metadata,fetched,HIGH,abbeb0c09c5836a5
AW-000011,AW-000011,Serang,source:15c9d3c99a0d3caf,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,The Probabilistic Convolution Tree: Efficient Exact Bayesian Inference for Faster LC-MS/MS Protein Inference | PLOS One,other_public_source,fetched,LOW,99a71bec61fdaf9b
AW-000012-P0008,AW-000012,Serang,AW-000012:algorithm_wiki_metadata,https://www.liebertpub.com/doi/10.1089/cmb.2015.0013,AlgorithmWiki metadata for Serang,algorithm_wiki,metadata_only,HIGH,0aaa3098ab69ddf8
AW-000012-P0008,AW-000012,Serang,crossref:bd32e115c96e5e62,https://doi.org/10.1089/cmb.2015.0013,A Fast Numerical Method for Max-Convolution and the Application to Efficient Max-Product Inference in Bayesian Networks,doi_metadata,fetched,HIGH,d406fb5a0c2a98a8
AW-000012-P0008,AW-000012,Serang,failed:6a0c9e778fcaec47,https://www.liebertpub.com/doi/10.1089/cmb.2015.0013,HTTP Error 403: Forbidden,other_public_source,failed,LOW,d62fd096634bd954
