run_dir,shard,run,graph_status,claim_accepted,verdict,scope,route,claim_scope,selected,missing_obligations,blocking_barriers,unknown_blocking_barriers,generic_wrapper_motif,generic_estimation_motif,nontrivial_structure_count,weak_analogy_count,expert_questions_count,limitations_count,b_failures,b_unknowns,failed_graph_rules,unknown_graph_rules,node_count,edge_count,support_node_count,support_edge_count,parent_algorithm_name,probe_type,input_model,access_model,output_contract,statement_excerpt,heuristic_value_label,graph_value_label,non_authoritative_triage_priority_score
runs/live_gpt55_r6/qml-228f4315baea,live_gpt55_r6,qml-228f4315baea,PASS,False,NEGATIVE,NONE,STOP,QUERY,ordered_search,complexity_certificate,,,False,False,1,0,6,6,B3_ASYMPTOTIC_SPEEDUP_CERTIFICATE,,,,57,60,33,39,,,,,,,,REGISTRY_GAP_INTERESTING,36
runs/live_gpt55_r6/qml-279257d3dc2a,live_gpt55_r6,qml-279257d3dc2a,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_element_distinctness,,,,False,False,1,0,6,8,,,,,56,59,34,40,,,,,,,,USEFUL_SUBROUTINE_CANDIDATE,64
runs/live_gpt55_r6/qml-58c8407da0b6,live_gpt55_r6,qml-58c8407da0b6,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_linear_systems_state_output,,,,False,False,1,0,9,8,,,,,59,65,37,43,,,,,,,,USEFUL_SUBROUTINE_CANDIDATE,67
runs/live_gpt55_r6/qml-6070e7a6f25b,live_gpt55_r6,qml-6070e7a6f25b,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,0,6,5,,,,,29,26,15,14,,,,,,,,REGISTRY_GAP_INTERESTING,39
runs/live_gpt55_r6/qml-7ce8ee39cb33,live_gpt55_r6,qml-7ce8ee39cb33,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,0,6,6,,,,,55,58,34,40,,,,,,,,GENERIC_GROVERIZATION,0
runs/live_gpt55_r6/qml-8d2bb7e8abf3,live_gpt55_r6,qml-8d2bb7e8abf3,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,0,6,6,,,,,55,59,35,41,,,,,,,,GENERIC_ESTIMATION_WRAPPER,0
runs/live_gpt55_r6/qml-953260e68cef,live_gpt55_r6,qml-953260e68cef,PASS,False,NEGATIVE,NONE,STOP,QUERY,oracle_interrogation,complexity_certificate,,,False,False,1,0,6,6,B3_ASYMPTOTIC_SPEEDUP_CERTIFICATE,,,,53,56,33,39,,,,,,,,REGISTRY_GAP_INTERESTING,36
runs/live_gpt55_r6/qml-bfb37bf61f3f,live_gpt55_r6,qml-bfb37bf61f3f,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,qft_period_finding,,,,False,False,1,0,7,7,,,,,41,50,34,40,,,,,,,,USEFUL_SUBROUTINE_CANDIDATE,65
runs/live_gpt55_r6/qml-d9015952edf1,live_gpt55_r6,qml-d9015952edf1,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,0,5,6,,,,,42,33,15,14,,,,,,,,REGISTRY_GAP_INTERESTING,38
runs/live_gpt55_r6/qml-e8cabc454219,live_gpt55_r6,qml-e8cabc454219,PASS,False,NEGATIVE,NONE,STOP,QUERY,parity_query,complexity_certificate,,,False,False,1,0,4,5,B3_ASYMPTOTIC_SPEEDUP_CERTIFICATE,,,,53,56,33,39,,,,,,,,REGISTRY_GAP_INTERESTING,34
