algorithm_id,algorithm_name,source_id,source_family,url,title,access_status,reliability,digest
AW-000002,Karpinski,skipped:190eca428648c70a,original_source,https://citeseerx.ist.psu.edu/pdf/4af91d48d513fbcf64e277c07c17615c31726ec6,public PDF body was not downloaded,skipped,LOW,977f6a43b6887eb1
AW-000002,Karpinski,crossref_search:9dbb62306ed93f65,doi_metadata,https://doi.org/10.4135/9781412995962.n442,"Karpinski, Janis",fetched,MEDIUM,b574fac6a99ed475
AW-000002,Karpinski,openalex:db1d1f55e080b0f9,openalex,https://openalex.org/W1951724000,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,fetched,HIGH,e7fb1bfcedc092a6
AW-000002,Karpinski,wikidata:51efef53a122319e,wikidata,http://www.wikidata.org/entity/Q450440,Karpinski,fetched,MEDIUM,718832778c69160a
AW-000004,Larmore,crossref_search:7e56828042b94583,doi_metadata,https://doi.org/10.1093/gmo/9781561592630.article.41818,"Larmore, Jennifer",fetched,MEDIUM,35cd17669dd510a2
AW-000004,Larmore,arxiv:4f2a2b19cc77239b,arxiv_abstract,http://arxiv.org/abs/2303.03676v1,Thermal Larmor radiation,fetched,HIGH,74fd76ecaa1aaae3
AW-000004,Larmore,openalex:0c92b6525c627a99,openalex,https://openalex.org/W2042753372,On Being Neither Post- Nor Anti-Kantian: A Reply to Breazeale and Larmore Concerning<i>The Fate of Autonomy</i>,fetched,HIGH,91f0e971d8f6012c
AW-000004,Larmore,wikidata:cb9eee013010fa7b,wikidata,http://www.wikidata.org/entity/Q37512162,Larmore,fetched,MEDIUM,756c9c13925c3096
AW-000009,Klinz,wikidata:2ef6c7168115f174,wikidata,http://www.wikidata.org/entity/Q15732877,Klinz,fetched,MEDIUM,d84865a4262f1afe
AW-000015,"Lawrence, Reilly",crossref_search:8fd8d2220c4a93b7,doi_metadata,https://doi.org/10.25291/vr/19-vlr-22,REILLY v. REILLY,fetched,MEDIUM,b2126f66bc71d592
AW-000100,Psinger,openalex:27f5def1db95859f,openalex,https://openalex.org/W2893877102,ESPEN guideline on clinical nutrition in the intensive care unit,fetched,HIGH,2cd6769e62f8f034
