id,kind,public_path,metadata_path,public_field_set_exactly_seven,public_validation_ok,leakage_free,concrete_problem_task,concrete_input,concrete_output,complexity_included,no_generic_template_phrase,known_input_access_output,source_trace_present,probe_assumptions_explicit,probe_not_end_to_end_explicit,parent_trace_present,recommended_action,severity,issue_codes,human_review_summary
AW-000001,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000001.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000003,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000003.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000005,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000005.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000006,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000006.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000007,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000007.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000008,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000008.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000011,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000011.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000012,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000012.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000014,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000014.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000014.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000016,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000016.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000016.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000017,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000017.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000017.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000018,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000018.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000018.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000019,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000019.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000019.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000020,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000020.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000020.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000021,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000021.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000021.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000022,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000022.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000022.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000023,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000023.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000023.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000024,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000024.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000024.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000025,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000025.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000025.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000026,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000026.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000026.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000027,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000027.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000027.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000028,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000028.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000028.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000029,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000029.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000029.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000030,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000030.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000030.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000031,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000031.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000031.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000032,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000032.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000032.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000033,context,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000033.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000033.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
