candidate_family_id,parent_algorithm_name,selected,original_output_type,access_provided,candidate_universe,canonical_run,canonical_run_dir,family_member_count,family_members,research_disposition,graph_status,claim_accepted,output_alignment,access_upgrade_status,oracle_status,baseline_status,hard_blockers,unknown_obligations
qfam-00319c93accb,Christofides algorithm,NO_CANDIDATE,FULL_RESULT,local_graph_transition_oracle,explicit_graph_problem,qml-d1f157cec2c9,runs/final_discovery_run_v1/fdv1_public_probe_v1_009/qml-d1f157cec2c9,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_009/qml-d1f157cec2c9,REFORMULATE,PASS,False,DIAGNOSTIC_ONLY,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-004816967a31,Berkman Vishkin,amplitude_amplification,FULL_RESULT,coherent_boolean_oracle,UNSPECIFIED,qml-fb98a5b09765,runs/final_discovery_run_v1/fdv1_public_probe_v1_008/qml-fb98a5b09765,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_008/qml-fb98a5b09765,DEMOTE_GENERIC,PASS,True,DIAGNOSTIC_ONLY,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-0051f7368799,"Ahuja, Orlin, Tarjan",amplitude_amplification,FULL_RESULT,coherent_boolean_oracle,UNSPECIFIED,qml-0fc67c155889,runs/final_discovery_run_v1/fdv1_public_probe_v1_007/qml-0fc67c155889,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_007/qml-0fc67c155889,DEMOTE_GENERIC,PASS,True,DIAGNOSTIC_ONLY,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-00d6acc9be38,Ford–Fulkerson algorithm,NO_CANDIDATE,FULL_RESULT,local_graph_transition_oracle,explicit_graph_problem,qml-02f0dcbb3316,runs/final_discovery_run_v1/fdv1_public_probe_v1_007/qml-02f0dcbb3316,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_007/qml-02f0dcbb3316,REFORMULATE,PASS,False,DIAGNOSTIC_ONLY,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-00f93d573778,Miller-Tucker-Zemlin (MTZ) formulation,NO_CANDIDATE,FULL_RESULT,local_graph_transition_oracle,explicit_graph_problem,qml-f9581ec74911,runs/final_discovery_run_v1/fdv1_public_probe_v1_002/qml-f9581ec74911,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_002/qml-f9581ec74911,REFORMULATE,PASS,False,DIAGNOSTIC_ONLY,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-01d267d28a81,Chan (Geometrically Weighted),amplitude_amplification,FULL_RESULT,coherent_boolean_oracle,UNSPECIFIED,qml-c4d737dd39c0,runs/final_discovery_run_v1/fdv1_public_probe_v1_005/qml-c4d737dd39c0,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_005/qml-c4d737dd39c0,DEMOTE_GENERIC,PASS,True,DIAGNOSTIC_ONLY,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-02582ffdca75,MotifSampler,amplitude_amplification,FULL_RESULT,coherent_boolean_oracle,UNSPECIFIED,qml-482c8a5f2977,runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-482c8a5f2977,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-482c8a5f2977,DEMOTE_GENERIC,PASS,True,DIAGNOSTIC_ONLY,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-025d5a2f94e0,Rijndael / AES,NO_CANDIDATE,FULL_RESULT,local_graph_transition_oracle,explicit_graph_problem,qml-cc929e04141d,runs/final_discovery_run_v1/fdv1_public_probe_v1_012/qml-cc929e04141d,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_012/qml-cc929e04141d,REFORMULATE,PASS,False,DIAGNOSTIC_ONLY,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-027b8790a8e6,Dantzig-Fulkerson-Johnson (DFJ) formulation,NO_CANDIDATE,FULL_RESULT,local_graph_transition_oracle,explicit_graph_problem,qml-7b113b6269e8,runs/final_discovery_run_v1/fdv1_public_probe_v1_002/qml-7b113b6269e8,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_002/qml-7b113b6269e8,REFORMULATE,PASS,False,DIAGNOSTIC_ONLY,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
qfam-0284d70e518b,O(n^2) Dynamic Programming,amplitude_amplification,FULL_RESULT,coherent_boolean_oracle,UNSPECIFIED,qml-88c07f242419,runs/final_discovery_run_v1/fdv1_public_probe_v1_012/qml-88c07f242419,1,runs/final_discovery_run_v1/fdv1_public_probe_v1_012/qml-88c07f242419,DEMOTE_GENERIC,PASS,True,DIAGNOSTIC_ONLY,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE
