algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,domain,input_model,access_model,output_contract,time_complexity,space_complexity,confidence_score,source_count,source_quality,card_digest
AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000001.context.evidence.yaml,numerical_analysis,explicit_numerical_problem,explicit_numeric_parameters,approximation_solution,O(n),O(n),100,1,HIGH,f4f800fae41d01d7
AW-000003,Klawe Mumey,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000003.context.evidence.yaml,data_structures,explicit_data_structure_problem,offline_batch_queries,data_structure_output,O(n),O(n),65,3,HIGH,d364d78f1db40662
AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,one_witness,O(n \log n),O(M),75,3,HIGH,ed6e10f782125337
AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000006.context.evidence.yaml,dynamic_programming,explicit_combinatorial_problem,offline_batch_queries,one_witness,O(nt/\log t),O(t/\log t),70,3,HIGH,bda64be0dc4a375e
AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000007.context.evidence.yaml,dynamic_programming,explicit_combinatorial_problem,offline_batch_queries,one_witness,O(n' t),O(t),65,3,HIGH,cde5e12aec6352f9
AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000008.context.evidence.yaml,dynamic_programming,explicit_combinatorial_problem,offline_batch_queries,one_witness,O(n' t),O(t),65,3,HIGH,547b9fee76a32150
AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000011.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000011.context.evidence.yaml,data_structures,explicit_combinatorial_problem,offline_batch_queries,one_witness,\tilde{O}(n \max(S)),O(t\log t),70,3,HIGH,d7f5c09036280d63
AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000012.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012.context.evidence.yaml,graph,explicit_combinatorial_problem,adjacency_list_query,one_witness,\tilde{O}(n \max(S)),O(t\log t),65,3,HIGH,9e275daab1f99aed
AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000014.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000014.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000014.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,full_solution,O(\Delta^2/\epsilon),O(\Delta^2/\epsilon),100,2,HIGH,800443e7ab90d55b
AW-000016,Lawrence Gibbs Sampling,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000016.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000016.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000016.context.evidence.yaml,randomized_sampling,explicit_numerical_problem,explicit_numeric_parameters,approximation_solution,O(nm),O(n + m),100,2,HIGH,e8cf323c9de112e1
AW-000017,MotifSampler,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000017.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000017.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000017.context.evidence.yaml,string,explicit_string_problem,random_access_string,full_solution,O(nm),O(n + m),65,2,HIGH,8f188b080ceb5431
AW-000018,tree-structured vector quantization Wei-Levoy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000018.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000018.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000018.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(n^2 \log n),O(nd),100,3,HIGH,8d688e32edea5e82
AW-000019,"Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000019.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000019.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000019.context.evidence.yaml,image_processing,explicit_image_processing_problem,explicit_input_instance,full_solution,O(N),O(N),100,3,HIGH,45f16c8019513674
AW-000020,Grigoryan,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000020.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000020.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000020.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,explicit_input_instance,one_witness,O(n),O(n),75,3,HIGH,f2d41ea7bc491840
AW-000021,Sedgewick Szymanski and Yao,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000021.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000021.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000021.context.evidence.yaml,graph,explicit_graph_problem,random_access_string,path_or_tree,(\mu + \lambda)(1+\Theta(1/\sqrt{M})),M,65,3,HIGH,e884d3b43064f038
