run_dir,shard,run,graph_status,claim_accepted,verdict,scope,route,claim_scope,selected,missing_obligations,blocking_barriers,unknown_blocking_barriers,generic_wrapper_motif,generic_estimation_motif,nontrivial_structure_count,weak_analogy_count,expert_questions_count,limitations_count,b_failures,b_unknowns,failed_graph_rules,unknown_graph_rules,node_count,edge_count,support_node_count,support_edge_count,parent_algorithm_name,probe_type,input_model,access_model,output_contract,statement_excerpt,heuristic_value_label,screening_version,research_disposition,screening_reasons,hard_blockers,unknown_obligations,original_output_type,candidate_output_type,output_alignment,access_provided,access_required,access_upgrade_status,oracle_status,baseline_status,candidate_universe,graph_value_label,candidate_family_id,family_member_count,canonical_run,is_canonical_run,family_role
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-032129bac321,fdv1_public_probe_v1_001,qml-032129bac321,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,4,8,7,,,,,68,71,34,40,Naive,search_witness_probe,explicit_geometry_problem,coherent_boolean_oracle,one_witness,"Naive search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, path element, pattern o",GENERIC_GROVERIZATION,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,explicit_geometry_problem,GENERIC_GROVERIZATION,qfam-5fc26b1b4be1,1,qml-032129bac321,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-034ef0a356ca,fdv1_public_probe_v1_001,qml-034ef0a356ca,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,2,6,7,,,,,33,34,14,13,"Valentin Polishchuk, and Jukka Suomela",graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Valentin Polishchuk, and Jukka Suomela graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hittin",REGISTRY_GAP_INTERESTING,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNKNOWN;S3_ORACLE_UNKNOWN;S4_BASELINE_BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,local_graph_transition_oracle,,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,explicit_graph_problem,REGISTRY_GAP_INTERESTING,qfam-3140025e91f3,1,qml-034ef0a356ca,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-051233347a5d,fdv1_public_probe_v1_001,qml-051233347a5d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,0,7,7,,,,,64,63,34,40,Nivasch,search_witness_probe,explicit_combinatorial_problem,coherent_boolean_oracle,one_witness,"Nivasch search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, path element, pattern",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,UNSPECIFIED,GENERIC_GROVERIZATION,qfam-c3ea5e3d5e38,1,qml-051233347a5d,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-053332223827,fdv1_public_probe_v1_001,qml-053332223827,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,2,7,8,,,,,67,68,34,40,Hierarchical Navigable Small World (HNSW),search_witness_probe,explicit_graph_problem,coherent_boolean_oracle,one_witness,"Hierarchical Navigable Small World (HNSW) search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, cou",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,UNSPECIFIED,GENERIC_GROVERIZATION,qfam-633a905b22a9,1,qml-053332223827,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-09318864b678,fdv1_public_probe_v1_001,qml-09318864b678,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,8,7,,,,,47,58,35,41,MotifSampler,estimation_sampling_probe,explicit_string_problem,coherent_estimation_oracle,additive_estimate,"MotifSampler estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical quantity of a bounde",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,SCALAR,DIAGNOSTIC_ONLY,coherent_estimation_oracle,coherent_estimation_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,explicit_string_problem,GENERIC_ESTIMATION_WRAPPER,qfam-c72228250996,1,qml-09318864b678,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-0de210dd1964,fdv1_public_probe_v1_001,qml-0de210dd1964,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,8,7,,,,,69,70,35,41,Melhorn's Approximation algorithm,estimation_sampling_probe,explicit_numerical_problem,coherent_estimation_oracle,additive_estimate,"Melhorn's Approximation algorithm estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_EXACT_OUTPUT_MATCH;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,SCALAR,SCALAR,EXACT_OUTPUT_MATCH,coherent_estimation_oracle,coherent_estimation_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,explicit_numerical_problem,GENERIC_ESTIMATION_WRAPPER,qfam-22f2627c9945,1,qml-0de210dd1964,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-229ab9d48a68,fdv1_public_probe_v1_001,qml-229ab9d48a68,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,0,6,7,,,,,66,65,34,40,Bentley–Ottmann algorithm,search_witness_probe,explicit_geometry_problem,coherent_boolean_oracle,one_witness,"Bentley–Ottmann algorithm search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, pat",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,UNSPECIFIED,GENERIC_GROVERIZATION,qfam-f993fd7dfa85,1,qml-229ab9d48a68,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-248d03d7fd96,fdv1_public_probe_v1_001,qml-248d03d7fd96,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,4,6,5,,,,,57,50,14,13,Jump Point Search (JPS),graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Jump Point Search (JPS) graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hitting, path, or wit",REGISTRY_GAP_INTERESTING,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNKNOWN;S3_ORACLE_UNKNOWN;S4_BASELINE_BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,local_graph_transition_oracle,,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,explicit_graph_problem,REGISTRY_GAP_INTERESTING,qfam-d85531c9dfc9,1,qml-248d03d7fd96,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-2e23f3eee37f,fdv1_public_probe_v1_001,qml-2e23f3eee37f,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,5,8,7,,,,,47,46,14,13,Generalized Adaptive A* (GAA*),graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Generalized Adaptive A* (GAA*) graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hitting, path,",REGISTRY_GAP_INTERESTING,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_DIAGNOSTIC_ONLY;S2_ACCESS_UNKNOWN;S3_ORACLE_UNKNOWN;S4_BASELINE_BASELINE_UNVERIFIED,S0_B_CLAIM_NOT_ACCEPTED,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,FULL_RESULT,WITNESS,DIAGNOSTIC_ONLY,local_graph_transition_oracle,,UNKNOWN,UNKNOWN,BASELINE_UNVERIFIED,explicit_graph_problem,REGISTRY_GAP_INTERESTING,qfam-8055e0917e36,1,qml-2e23f3eee37f,True,CANONICAL
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-2f26fdc62c56,fdv1_public_probe_v1_001,qml-2f26fdc62c56,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,7,7,,,,,48,58,35,41,Lawrence Gibbs Sampling,estimation_sampling_probe,explicit_numerical_problem,coherent_estimation_oracle,additive_estimate,"Lawrence Gibbs Sampling estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical quantity ",USEFUL_SUBROUTINE_CANDIDATE,QAEG-screen-v0.1,DEMOTE_GENERIC,S5_GENERIC_WRAPPER;S1_OUTPUT_EXACT_OUTPUT_MATCH;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,SCALAR,SCALAR,EXACT_OUTPUT_MATCH,coherent_estimation_oracle,coherent_estimation_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,explicit_numerical_problem,GENERIC_ESTIMATION_WRAPPER,qfam-f3c502b93483,1,qml-2f26fdc62c56,True,CANONICAL
