global_task_id,dataset,subset,kind,card_id,parent_algorithm_id,algorithm_name,input_path,metadata_path,evidence_path,manifest_path,target_registry_primitive,expected_claim_boundary,reasoning_effort,timeout,priority,shard_id,output_dir,status,notes
FDV1-00001,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000005-RV1-MIN0001,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000005-RV1-MIN0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000005-RV1-MIN0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000005-RV1-MIN0001.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_minimum_finding,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=2; shard_size=50
FDV1-00002,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000005-RV1-MVW0001,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000005-RV1-MVW0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000005-RV1-MVW0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000005-RV1-MVW0001.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_walk_marked_vertex_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=1; shard_size=50
FDV1-00003,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000006-RV1-CNT0001,AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000006-RV1-CNT0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000006-RV1-CNT0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000006-RV1-CNT0001.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=3; shard_size=50
FDV1-00004,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000007-RV1-CNT0002,AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000007-RV1-CNT0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000007-RV1-CNT0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000007-RV1-CNT0002.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=4; shard_size=50
FDV1-00005,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000008-RV1-CNT0003,AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000008-RV1-CNT0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000008-RV1-CNT0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000008-RV1-CNT0003.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=5; shard_size=50
FDV1-00006,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000011-RV1-CNT0004,AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000011-RV1-CNT0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000011-RV1-CNT0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000011-RV1-CNT0004.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=6; shard_size=50
FDV1-00007,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000012-RV1-CNT0005,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000012-RV1-CNT0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000012-RV1-CNT0005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000012-RV1-CNT0005.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=8; shard_size=50
FDV1-00008,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000012-RV1-MVW0002,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000012-RV1-MVW0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000012-RV1-MVW0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000012-RV1-MVW0002.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_walk_marked_vertex_search,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=7; shard_size=50
FDV1-00009,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000020-RV1-CNT0006,AW-000020,Grigoryan,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000020-RV1-CNT0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000020-RV1-CNT0006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000020-RV1-CNT0006.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=9; shard_size=50
FDV1-00010,algorithm_wiki,registry_v1_probes,registry_v1_probe,AW-000022-RV1-CNT0007,AW-000022,Nivasch,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\public_probe\AW-000022-RV1-CNT0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\metadata_probe\AW-000022-RV1-CNT0007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\evidence\AW-000022-RV1-CNT0007.evidence.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\registry_v1_probes\manifests\ready_public_probe_registry_v1.csv,quantum_counting,query_or_subroutine_hypothesis,high,180,highest,fdv1_registry_v1_probes_001,runs/final_discovery_run_v1/fdv1_registry_v1_probes_001,READY,source_manifest_row=10; shard_size=50
