algorithm_id,algorithm_name,saturation_status,cycles_completed,source_families_covered,new_fact_count,review_reasons,next_manual_action
AW-000002,Karpinski,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,15,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000004,Larmore,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,15,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000009,Klinz,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,16,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000015,"Lawrence, Reilly",BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,1,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia,24,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",Audit recovered card before any optional live analyze run.
AW-000100,Psinger,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,18,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000174,Harrow (Quantum),SATURATED_NO_RECOVERY,4,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,29,The row has partial metadata but still lacks one or more source-backed fields required for a public context card.,No automated action recommended; keep saturated certificate with unresolved row.
AW-000284,A. Chalmers T. Davis and E. Reinhard 2002,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000288,Lindeberg (1994),SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000293,Lindeberg 2005,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000294,The Wang and Brady corner detection algorithm 1995,BLOCKED_BY_PAYWALL_OR_MISSING_SOURCE,1,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia,12,"Source-saturation pass found enough task, input, output, and access semantics for a context card.; public_leakage_term_in_name_or_statement",Audit recovered card before any optional live analyze run.
AW-000303,Hessain Determinant Lindeberg 1994,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000304,Hessain Determinant Lindeberg 1998,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000310,A. Baumberg. 2000,SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
AW-000332,Linda G. Shapiro and George C. Stockman (2001),SATURATED_NO_RECOVERY,3,algorithm_wiki_local; local_previous_cache; original_source; crossref; arxiv; wikipedia; openalex; semantic_scholar; dblp; publisher_abstract; wikidata; citeseerx; nist_dads; the_algorithms; cp_algorithms; course_notes; general_web_search,11,"After the configured source-family cycles, no source-backed concrete task, input semantics, output semantics, and conservative access model could be established.",No automated action recommended; keep saturated certificate with unresolved row.
