id,kind,public_path,metadata_path,public_field_set_exactly_seven,public_validation_ok,leakage_free,concrete_problem_task,concrete_input,concrete_output,complexity_included,no_generic_template_phrase,known_input_access_output,source_trace_present,probe_assumptions_explicit,probe_not_end_to_end_explicit,parent_trace_present,recommended_action,severity,issue_codes,human_review_summary
AW-000001-P0001,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000001-P0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000001-P0001.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000005-P0002,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0002.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000005-P0003,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0003.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000006-P0004,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000006-P0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000006-P0004.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000007-P0005,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000007-P0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000007-P0005.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000008-P0006,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000008-P0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000008-P0006.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000011-P0007,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000011-P0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000011-P0007.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000012-P0008,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0008.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000012-P0009,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0009.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000014-P0010,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000014-P0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000014-P0010.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000014-P0011,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000014-P0011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000014-P0011.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000016-P0012,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000016-P0012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000016-P0012.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000017-P0013,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000017-P0013.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000017-P0013.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000017-P0014,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000017-P0014.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000017-P0014.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000019-P0015,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000019-P0015.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000019-P0015.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000020-P0016,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000020-P0016.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000020-P0016.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000021-P0017,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000021-P0017.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000021-P0017.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000021-P0018,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000021-P0018.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000021-P0018.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000022-P0019,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000022-P0019.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000022-P0019.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000022-P0020,probe,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000022-P0020.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000022-P0020.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
