probe_id,parent_algorithm_id,parent_algorithm_name,public_probe_path,metadata_probe_path,evidence_path,probe_type,introduced_assumptions,original_output_contract,probe_output_contract,not_end_to_end_claim,confidence_score,source_count,card_digest
AW-000001-P0001,AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000001-P0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000001-P0001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000001-P0001.evidence.yaml,estimation_sampling_probe,coherent_estimation_oracle; bounded_random_variable; coherent_sampler,approximation_solution,additive_estimate,True,100,1,98aeb23c37da9f52
AW-000005-P0002,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0002.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0002.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,75,3,cd50d8fde25f64fe
AW-000005-P0003,AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000005-P0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000005-P0003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005-P0003.evidence.yaml,graph_walk_probe,local_graph_transition_oracle; marked_vertex_or_edge; query_model_subroutine,one_witness,one_witness,True,75,3,5d83d09ab165365b
AW-000006-P0004,AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000006-P0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000006-P0004.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000006-P0004.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,70,3,12d44922edd69a4d
AW-000007-P0005,AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000007-P0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000007-P0005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000007-P0005.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,65,3,71e4d74c6d75d0b7
AW-000008-P0006,AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000008-P0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000008-P0006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000008-P0006.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,65,3,d8f42511523d818b
AW-000011-P0007,AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000011-P0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000011-P0007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000011-P0007.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,70,3,4302527c545bffa4
AW-000012-P0008,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012-P0008.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,one_witness,one_witness,True,65,3,9781426e6e598556
AW-000012-P0009,AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000012-P0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000012-P0009.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012-P0009.evidence.yaml,graph_walk_probe,local_graph_transition_oracle; marked_vertex_or_edge; query_model_subroutine,one_witness,one_witness,True,65,3,ee4585c0235ba9fc
AW-000014-P0010,AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000014-P0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000014-P0010.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000014-P0010.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,full_solution,one_witness,True,100,2,cd5f17f5a2d97c71
AW-000014-P0011,AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000014-P0011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000014-P0011.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000014-P0011.evidence.yaml,graph_walk_probe,local_graph_transition_oracle; marked_vertex_or_edge; query_model_subroutine,full_solution,one_witness,True,100,2,476b4a70b98248dc
AW-000016-P0012,AW-000016,Lawrence Gibbs Sampling,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000016-P0012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000016-P0012.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000016-P0012.evidence.yaml,estimation_sampling_probe,coherent_estimation_oracle; bounded_random_variable; coherent_sampler,approximation_solution,additive_estimate,True,100,2,de860b4eb895b477
AW-000017-P0013,AW-000017,MotifSampler,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000017-P0013.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000017-P0013.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000017-P0013.evidence.yaml,search_witness_probe,coherent_boolean_oracle; marked_item_exists; candidate_indexing,full_solution,one_witness,True,65,2,dd809b959cd1175d
AW-000017-P0014,AW-000017,MotifSampler,corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000017-P0014.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000017-P0014.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000017-P0014.evidence.yaml,estimation_sampling_probe,coherent_estimation_oracle; bounded_random_variable; coherent_sampler,full_solution,additive_estimate,True,65,2,a744bd0d52795d2a
AW-000019-P0015,AW-000019,"Spatial GAN-Based Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",corpus\algorithm_wiki\algowiki1901_rich_v1\public_probe\AW-000019-P0015.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_probe\AW-000019-P0015.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000019-P0015.evidence.yaml,period_structure_probe,periodic_structure; coherent_function_access,full_solution,exact_value,True,100,3,f0e2648da04518b1
