run_dir,shard,run,graph_status,claim_accepted,verdict,scope,route,claim_scope,selected,missing_obligations,blocking_barriers,unknown_blocking_barriers,generic_wrapper_motif,generic_estimation_motif,nontrivial_structure_count,weak_analogy_count,expert_questions_count,limitations_count,b_failures,b_unknowns,failed_graph_rules,unknown_graph_rules,node_count,edge_count,support_node_count,support_edge_count,parent_algorithm_name,probe_type,input_model,access_model,output_contract,statement_excerpt,heuristic_value_label,graph_value_label,non_authoritative_triage_priority_score
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-032129bac321,fdv1_public_probe_v1_001,qml-032129bac321,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,4,8,7,,,,,68,71,34,40,Naive,search_witness_probe,explicit_geometry_problem,coherent_boolean_oracle,one_witness,"Naive search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, path element, pattern o",GENERIC_GROVERIZATION,GENERIC_GROVERIZATION,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-034ef0a356ca,fdv1_public_probe_v1_001,qml-034ef0a356ca,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,2,6,7,,,,,33,34,14,13,"Valentin Polishchuk, and Jukka Suomela",graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Valentin Polishchuk, and Jukka Suomela graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hittin",REGISTRY_GAP_INTERESTING,REGISTRY_GAP_INTERESTING,39
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-051233347a5d,fdv1_public_probe_v1_001,qml-051233347a5d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,0,7,7,,,,,64,63,34,40,Nivasch,search_witness_probe,explicit_combinatorial_problem,coherent_boolean_oracle,one_witness,"Nivasch search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, path element, pattern",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_GROVERIZATION,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-053332223827,fdv1_public_probe_v1_001,qml-053332223827,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,2,7,8,,,,,67,68,34,40,Hierarchical Navigable Small World (HNSW),search_witness_probe,explicit_graph_problem,coherent_boolean_oracle,one_witness,"Hierarchical Navigable Small World (HNSW) search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, cou",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_GROVERIZATION,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-09318864b678,fdv1_public_probe_v1_001,qml-09318864b678,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,8,7,,,,,47,58,35,41,MotifSampler,estimation_sampling_probe,explicit_string_problem,coherent_estimation_oracle,additive_estimate,"MotifSampler estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical quantity of a bounde",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_ESTIMATION_WRAPPER,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-0de210dd1964,fdv1_public_probe_v1_001,qml-0de210dd1964,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,8,7,,,,,69,70,35,41,Melhorn's Approximation algorithm,estimation_sampling_probe,explicit_numerical_problem,coherent_estimation_oracle,additive_estimate,"Melhorn's Approximation algorithm estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_ESTIMATION_WRAPPER,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-229ab9d48a68,fdv1_public_probe_v1_001,qml-229ab9d48a68,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_amplification,,,,True,False,0,0,6,7,,,,,66,65,34,40,Bentley–Ottmann algorithm,search_witness_probe,explicit_geometry_problem,coherent_boolean_oracle,one_witness,"Bentley–Ottmann algorithm search-witness probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether a predicate over candidates can expose one valid witness, counterexample, pat",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_GROVERIZATION,0
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-248d03d7fd96,fdv1_public_probe_v1_001,qml-248d03d7fd96,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,4,6,5,,,,,57,50,14,13,Jump Point Search (JPS),graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Jump Point Search (JPS) graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hitting, path, or wit",REGISTRY_GAP_INTERESTING,REGISTRY_GAP_INTERESTING,39
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-2e23f3eee37f,fdv1_public_probe_v1_001,qml-2e23f3eee37f,PASS,False,NEGATIVE,NONE,STOP,NONE,NO_CANDIDATE,,,,False,False,1,5,8,7,,,,,47,46,14,13,Generalized Adaptive A* (GAA*),graph_walk_probe,explicit_graph_problem,local_graph_transition_oracle,one_witness,"Generalized Adaptive A* (GAA*) graph-walk probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe asks whether local graph transitions and marked vertices or edges define a hitting, path,",REGISTRY_GAP_INTERESTING,REGISTRY_GAP_INTERESTING,41
runs/final_discovery_run_v1/fdv1_public_probe_v1_001/qml-2f26fdc62c56,fdv1_public_probe_v1_001,qml-2f26fdc62c56,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,amplitude_estimation,,,,False,True,0,1,7,7,,,,,48,58,35,41,Lawrence Gibbs Sampling,estimation_sampling_probe,explicit_numerical_problem,coherent_estimation_oracle,additive_estimate,"Lawrence Gibbs Sampling estimation-sampling probe. This is a subroutine/query-model probe, not an end-to-end claim for the original algorithm. The probe reformulates the row as estimating the mean, probability, count, or numerical quantity ",USEFUL_SUBROUTINE_CANDIDATE,GENERIC_ESTIMATION_WRAPPER,0
