run_dir,shard,run,graph_status,claim_accepted,verdict,scope,route,claim_scope,selected,missing_obligations,blocking_barriers,unknown_blocking_barriers,generic_wrapper_motif,generic_estimation_motif,nontrivial_structure_count,weak_analogy_count,expert_questions_count,limitations_count,b_failures,b_unknowns,failed_graph_rules,unknown_graph_rules,node_count,edge_count,support_node_count,support_edge_count,parent_algorithm_name,probe_type,input_model,access_model,output_contract,statement_excerpt,heuristic_value_label,graph_value_label,non_authoritative_triage_priority_score
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-0f7abfaec10d,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-0f7abfaec10d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,1,9,9,,,,,69,72,37,43,Serang,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,79
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-125ddce770b7,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-125ddce770b7,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,7,,,,,70,74,38,44,Basic Local Alignment Search Tool (BLAST),,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-1e5ca13af60a,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-1e5ca13af60a,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,6,7,,,,,75,80,37,43,Serang,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,76
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-26c574ba04a8,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-26c574ba04a8,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_marked_vertex_search,,,,False,False,1,1,8,8,,,,,53,66,39,45,Serang,,marked_markov_chain_search_problem,coherent_markov_chain_walk_oracle,one_marked_vertex,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,81
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-3b85ad6b5e41,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-3b85ad6b5e41,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,6,7,,,,,71,75,37,43,Grigoryan,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,76
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-41f30dc34737,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-41f30dc34737,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,7,,,,,70,74,38,44,Naïve string-search algorithm,,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-44a53e860003,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-44a53e860003,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_minimum_finding,,,,False,False,1,0,7,8,,,,,68,69,37,43,Ocone,,finite_candidate_set_problem,coherent_value_oracle,argmin_item,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-547571efbd67,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-547571efbd67,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,5,6,,,,,70,75,37,43,Durstenfeld's Algorithm 235,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,75
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-5ef740526591,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-5ef740526591,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_marked_vertex_search,,,,False,False,1,2,8,7,,,,,72,77,39,45,Hierarchical Navigable Small World (HNSW),,marked_markov_chain_search_problem,coherent_markov_chain_walk_oracle,one_marked_vertex,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,81
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-619851a49d0d,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-619851a49d0d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,1,7,7,,,,,72,75,37,43,Faaland,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,77
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-6313da6094f1,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-6313da6094f1,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,8,8,,,,,76,81,37,43,Koiliaris and Xu,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,78
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-6408632e0882,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-6408632e0882,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_minimum_finding,,,,False,False,1,1,7,8,,,,,71,74,37,43,Horowitz and Sahni,,finite_candidate_set_problem,coherent_value_oracle,argmin_item,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-7a62c762abb4,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-7a62c762abb4,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,7,,,,,71,75,38,44,Randomized HITS,,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-82e88c56086e,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-82e88c56086e,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,1,10,9,,,,,68,70,37,43,Pferschy,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-8bc6bfeb4e07,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-8bc6bfeb4e07,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,8,,,,,71,75,38,44,Commentz-Walter Algorithm,,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,80
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-919eae0c7381,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-919eae0c7381,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_marked_vertex_search,,,,False,False,1,1,8,8,,,,,70,74,39,45,Ravikumar & Cohen Generative Models,,marked_markov_chain_search_problem,coherent_markov_chain_walk_oracle,one_marked_vertex,,HIGH_PRIORITY_EXPERT_REVIEW,HIGH_PRIORITY_EXPERT_REVIEW,81
