id,kind,public_path,metadata_path,public_field_set_exactly_seven,public_validation_ok,leakage_free,concrete_problem_task,concrete_input,concrete_output,complexity_included,no_generic_template_phrase,known_input_access_output,source_trace_present,probe_assumptions_explicit,probe_not_end_to_end_explicit,parent_trace_present,recommended_action,severity,issue_codes,human_review_summary
AW-000156-SP0001,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000156-SP0001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000156-SP0001.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000233-SP0002,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000233-SP0002.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000233-SP0002.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000234-SP0003,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000234-SP0003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000234-SP0003.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000238-SP0004,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000238-SP0004.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000238-SP0004.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000239-SP0005,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000239-SP0005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000239-SP0005.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000240-SP0006,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000240-SP0006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000240-SP0006.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000241-SP0007,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000241-SP0007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000241-SP0007.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000242-SP0008,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000242-SP0008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000242-SP0008.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000243-SP0009,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000243-SP0009.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000243-SP0009.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
AW-000243-SP0010,probe,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_probe_recovered\AW-000243-SP0010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_probe_recovered\AW-000243-SP0010.meta.yaml,True,True,True,True,True,True,True,True,True,True,True,True,True,ACCEPT,NONE,,"Rich public card passes shape, leakage, source-trace, and semantic checks."
