run_dir,shard,run,graph_status,claim_accepted,verdict,scope,route,claim_scope,selected,missing_obligations,blocking_barriers,unknown_blocking_barriers,generic_wrapper_motif,generic_estimation_motif,nontrivial_structure_count,weak_analogy_count,expert_questions_count,limitations_count,b_failures,b_unknowns,failed_graph_rules,unknown_graph_rules,node_count,edge_count,support_node_count,support_edge_count,parent_algorithm_name,probe_type,input_model,access_model,output_contract,statement_excerpt,heuristic_value_label,screening_version,research_disposition,screening_reasons,hard_blockers,unknown_obligations,original_output_type,candidate_output_type,output_alignment,access_provided,access_required,access_upgrade_status,oracle_status,baseline_status,candidate_universe,graph_value_label,candidate_family_id,family_member_count,canonical_run,is_canonical_run,family_role
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-0f7abfaec10d,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-0f7abfaec10d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,1,9,9,,,,,69,72,37,43,Serang,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,SCALAR,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,marked_set_counting_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-8ea07d5bb023,1,fdv1_registry_v1_probes_001__qml-0f7abfaec10d,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-125ddce770b7,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-125ddce770b7,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,7,,,,,70,74,38,44,Basic Local Alignment Search Tool (BLAST),,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_backtracking_tree_oracle,coherent_backtracking_tree_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,implicit_backtracking_tree_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-f8881886899a,1,fdv1_registry_v1_probes_001__qml-125ddce770b7,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-1e5ca13af60a,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-1e5ca13af60a,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,6,7,,,,,75,80,37,43,Serang,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,SCALAR,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,UNSPECIFIED,HIGH_PRIORITY_EXPERT_REVIEW,qfam-53e80b9d7f9a,1,fdv1_registry_v1_probes_001__qml-1e5ca13af60a,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-26c574ba04a8,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-26c574ba04a8,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_marked_vertex_search,,,,False,False,1,1,8,8,,,,,53,66,39,45,Serang,,marked_markov_chain_search_problem,coherent_markov_chain_walk_oracle,one_marked_vertex,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_markov_chain_walk_oracle,coherent_markov_chain_walk_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,marked_markov_chain_search_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-a83f3d419834,1,fdv1_registry_v1_probes_001__qml-26c574ba04a8,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-3b85ad6b5e41,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-3b85ad6b5e41,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,6,7,,,,,71,75,37,43,Grigoryan,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,SCALAR,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,marked_set_counting_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-49e2dc6f0921,1,fdv1_registry_v1_probes_001__qml-3b85ad6b5e41,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-41f30dc34737,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-41f30dc34737,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_backtracking_tree_search,,,,False,False,1,1,7,7,,,,,70,74,38,44,Naïve string-search algorithm,,implicit_backtracking_tree_problem,coherent_backtracking_tree_oracle,one_solution_leaf,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_backtracking_tree_oracle,coherent_backtracking_tree_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,implicit_backtracking_tree_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-29a4cacd5b2a,1,fdv1_registry_v1_probes_001__qml-41f30dc34737,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-44a53e860003,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-44a53e860003,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_minimum_finding,,,,False,False,1,0,7,8,,,,,68,69,37,43,Ocone,,finite_candidate_set_problem,coherent_value_oracle,argmin_item,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_value_oracle,coherent_value_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,finite_candidate_set_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-cb1e070379b7,1,fdv1_registry_v1_probes_001__qml-44a53e860003,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-547571efbd67,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-547571efbd67,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,2,5,6,,,,,70,75,37,43,Durstenfeld's Algorithm 235,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,SCALAR,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,marked_set_counting_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-4919300631c5,1,fdv1_registry_v1_probes_001__qml-547571efbd67,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-5ef740526591,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-5ef740526591,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_walk_marked_vertex_search,,,,False,False,1,2,8,7,,,,,72,77,39,45,Hierarchical Navigable Small World (HNSW),,marked_markov_chain_search_problem,coherent_markov_chain_walk_oracle,one_marked_vertex,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,WITNESS,UNKNOWN,coherent_markov_chain_walk_oracle,coherent_markov_chain_walk_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,marked_markov_chain_search_problem,HIGH_PRIORITY_EXPERT_REVIEW,qfam-0c191946968e,1,fdv1_registry_v1_probes_001__qml-5ef740526591,True,CANONICAL
runs/final_discovery_run_v1_review_candidates/HIGH_PRIORITY_EXPERT_REVIEW/fdv1_registry_v1_probes_001__qml-619851a49d0d,HIGH_PRIORITY_EXPERT_REVIEW,fdv1_registry_v1_probes_001__qml-619851a49d0d,PASS,True,POSITIVE,QUERY,EXPERT_REVIEW,QUERY,quantum_counting,,,,False,False,0,1,7,7,,,,,72,75,37,43,Faaland,,marked_set_counting_problem,coherent_boolean_oracle,additive_count_estimate,,HIGH_PRIORITY_EXPERT_REVIEW,QAEG-screen-v0.1,REFORMULATE,S7_UNRESOLVED_REFORMULATION;S1_OUTPUT_UNKNOWN;S2_ACCESS_UNVERIFIED;S3_ORACLE_BLACK_BOX_ASSUMPTION;S4_BASELINE_BASELINE_UNVERIFIED,,S1_OUTPUT_RECOVERABILITY;S2_ACCESS_UPGRADE;S3_ORACLE_CONSTRUCTION;S4_BEST_BASELINE,UNKNOWN,SCALAR,UNKNOWN,coherent_boolean_oracle,coherent_boolean_oracle,UNVERIFIED,BLACK_BOX_ASSUMPTION,BASELINE_UNVERIFIED,UNSPECIFIED,HIGH_PRIORITY_EXPERT_REVIEW,qfam-b305a5c88b79,1,fdv1_registry_v1_probes_001__qml-619851a49d0d,True,CANONICAL
