algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,domain,input_model,access_model,output_contract,time_complexity,space_complexity,confidence_score,source_count,source_quality,card_digest,third_pass_rule,saturation_status
AW-000133,UKF,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000133.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000133.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000133.context.evidence.yaml,numerical_analysis,explicit_numerical_problem,random_access_string,estimate,O(n^3),O(n^2),100,5,HIGH,49355f59f11b698d,kalman_state_estimation,RECOVERED_CONTEXT
AW-000134,Compressed Extended KF,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000134.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000134.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000134.context.evidence.yaml,graph,explicit_graph_problem,adjacency_list_query,path_or_tree,O(n^3),O(n^2),100,4,HIGH,e5a55c89f420ed9e,third_pass_reuse_named_graph_problem,RECOVERED_CONTEXT
AW-000237,Williams' p + 1 algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000237.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000237.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000237.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,explicit_input_instance,full_solution,O(2^n),O(n),100,4,HIGH,98d87a91792b85e0,williams_p_plus_one_factorization,RECOVERED_CONTEXT
AW-000261,Covanov and Thomé,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000261.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000261.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000261.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n \log n 2^{O(\log^*n)}),O(n) auxiliary,100,4,HIGH,081a87e2de5d2edf,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000263,Harvey Hoeven Lecerf,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000263.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000263.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000263.context.evidence.yaml,combinatorics,explicit_combinatorial_problem,random_access_string,full_solution,O(n \log n 2^{2 \log^*n}),O(n) auxiliary,100,5,HIGH,a81553b1e740df63,third_pass_reuse_integer_multiplication,RECOVERED_CONTEXT
AW-000287,J. J. Koenderink and W. Richards 1988,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000287.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000287.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000287.context.evidence.yaml,computational_geometry,explicit_geometry_problem,explicit_geometric_objects,full_solution,O(n^3),not stated,100,4,HIGH,e179ace01230d6e0,surface_shape_geometry,RECOVERED_CONTEXT
AW-000292,T. Lindeberg and J. Garding (1997),corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000292.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000292.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000292.context.evidence.yaml,numerical_analysis,explicit_numerical_problem,function_evaluation_oracle_classical,estimate,O(n^2),not stated,100,4,HIGH,ed2a41717cb16cec,numeric_estimation,RECOVERED_CONTEXT
AW-000298,Geert Willems Tinne Tuytelaars and Luc van Gool (2008),corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000298.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000298.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000298.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^2),not stated,100,4,HIGH,fa9b4b874495a836,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000299,"Tao Luo, Zaifeng Shi and Pumeng Wang",corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000299.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000299.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000299.context.evidence.yaml,data_structures,explicit_data_structure_problem,random_access_string,data_structure_output,O(n^2),not stated,100,3,HIGH,8bcefe632bb4b441,third_pass_reuse_data_structure,RECOVERED_CONTEXT
AW-000300,T. Lindeberg DoG 2012,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\public_context_recovered\AW-000300.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\metadata_context_recovered\AW-000300.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_third_pass\evidence_recovered\AW-000300.context.evidence.yaml,image_processing,explicit_image_processing_problem,random_access_string,full_solution,O(n^2),not stated,100,3,HIGH,d43937fd7c0e10ad,image_feature_detection,RECOVERED_CONTEXT
