algorithm_id,algorithm_name,public_context_path,metadata_context_path,evidence_path,source_pass,merge_action,card_digest,access_model,confidence_score,domain,input_model,output_contract,saturation_status,second_pass_rule,source_count,source_quality,space_complexity,third_pass_rule,time_complexity
AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000001.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000001.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000001.context.evidence.yaml,v1,include,f4f800fae41d01d7,explicit_numeric_parameters,100,numerical_analysis,explicit_numerical_problem,approximation_solution,,,1,HIGH,O(n),,O(n)
AW-000003,Klawe Mumey,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000003.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000003.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000003.context.evidence.yaml,v1,include,d364d78f1db40662,offline_batch_queries,65,data_structures,explicit_data_structure_problem,data_structure_output,,,3,HIGH,O(n),,O(n)
AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000005.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000005.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000005.context.evidence.yaml,v1,include,ed6e10f782125337,adjacency_list_query,75,graph,explicit_graph_problem,one_witness,,,3,HIGH,O(M),,O(n \log n)
AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000006.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000006.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000006.context.evidence.yaml,v1,include,bda64be0dc4a375e,offline_batch_queries,70,dynamic_programming,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(t/\log t),,O(nt/\log t)
AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000007.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000007.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000007.context.evidence.yaml,v1,include,cde5e12aec6352f9,offline_batch_queries,65,dynamic_programming,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(t),,O(n' t)
AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000008.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000008.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000008.context.evidence.yaml,v1,include,547b9fee76a32150,offline_batch_queries,65,dynamic_programming,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(t),,O(n' t)
AW-000010,Eppstein,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000010.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000010.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000010.context.evidence.yaml,second_pass,include,d9d99757ef84c2b1,offline_batch_queries,75,dynamic_programming,explicit_combinatorial_problem,yes_no_decision,,subset_sum,3,HIGH,O(t\log t),,\tilde{O}(n \max(S))
AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000011.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000011.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000011.context.evidence.yaml,v1,include,d7f5c09036280d63,offline_batch_queries,70,data_structures,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(t\log t),,\tilde{O}(n \max(S))
AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000012.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000012.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1\evidence\AW-000012.context.evidence.yaml,v1,include,9e275daab1f99aed,adjacency_list_query,65,graph,explicit_combinatorial_problem,one_witness,,,3,HIGH,O(t\log t),,\tilde{O}(n \max(S))
AW-000013,Lokshtanov,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\public_context_recovered\AW-000013.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\metadata_context_recovered\AW-000013.meta.yaml,corpus\algorithm_wiki\algowiki1901_rich_v1_second_pass\evidence_recovered\AW-000013.context.evidence.yaml,second_pass,include,5c1fecce7e2ae9bc,offline_batch_queries,85,dynamic_programming,explicit_combinatorial_problem,yes_no_decision,,subset_sum,4,HIGH,O(n^2),,\tilde{O}(n^3 t)
