algorithm_id,algorithm_name,source_public_context_path,source_public_probe_path,source_metadata_path,existing_input_model,existing_access_model,existing_output_contract,detected_opportunity_type,evidence_text,source_records_used,why_probe_is_justified,why_probe_is_not_justified,required_introduced_assumptions,risk_of_overgeneration,decision,source_card_type,confidence_score,source_count,source_quality,opportunity_score
AW-000001,Melhorn's Approximation algorithm,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000001.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000001.meta.yaml,explicit_numerical_problem,explicit_numeric_parameters,approximation_solution,none,"Melhorn's Approximation algorithm Melhorn's Approximation algorithm is included as a named whole-algorithm context card for a classical numerical analysis task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: Numeric parameters, functions, samples, tolerances, or distributions for the stated numerical task. Output semantics: An exact or approximate numerical value, estimate, approximation, or fitted representation. Classical algorithm summary: Melhorn's Approximation algorithm is a numerical analysis algorithm record. Classical complexity metadata: time O(n); space O(n). Public metadata/source text adds: Melhorn's Approximation algorithm numerical_analysis numerical_analysis H: entropy of the distribution, P_{opt}:, P_{balanced}: , n: number of elements O(n) Given explicit numeric parameters or a classical functi",AW-000001:algorithm_wiki_metadata,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,1,HIGH,0
AW-000003,Klawe Mumey,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000003.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000003.meta.yaml,explicit_data_structure_problem,offline_batch_queries,data_structure_output,none,"Klawe Mumey Klawe Mumey is included as a named whole-algorithm context card for a classical data structures task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A set of records plus update/query operations for the named data structure. Output semantics: A maintained data structure representation and answers to its supported queries. Classical algorithm summary: Klawe Mumey is a data structures algorithm record. Classical complexity metadata: time O(n); space O(n). Public metadata/source text adds: Klawe Mumey unknown unknown n: number of elements O(n) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time O(n); space O(n); computation model not stated. Dominant bottleneck: update/query costs, balancing, and representation size. The usef",AW-000003:algorithm_wiki_metadata; crossref:7bd682e5ae96bfc7; failed:8b3833950e09d544,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,65,3,HIGH,0
AW-000005,Hierarchical Navigable Small World (HNSW),corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000005.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000005.meta.yaml,explicit_graph_problem,adjacency_list_query,one_witness,minimum_finding,"Hierarchical Navigable Small World (HNSW) Hierarchical Navigable Small World (HNSW) is included as a named whole-algorithm context card for a classical graph task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A metric or vector data set, query points, and graph/search parameters for nearest-neighbor lookup. Output semantics: Nearest-neighbor or approximate nearest-neighbor identifiers and distances for the query points. Classical algorithm summary: Hierarchical Navigable Small World (HNSW) is a graph algorithm record. Classical complexity metadata: time O(n \log n); space O(M). Public metadata/source text adds: Hierarchical Navigable Small World (HNSW) unknown unknown n: number of elements, M: heuristic choice -- number of closest neighbors for a part of the algo O(n \log n) No public-ready summary is availabl",AW-000005:algorithm_wiki_metadata; crossref:a65e05e1b63447fb; source:fdca4b1a400ad71d,"The source text supports an isolated minimum, best, closest, or objective-selection subproblem rather than a required full sorted output.",,finite_candidate_set; total_ordered_objective; coherent_value_oracle,low,GENERATE_REGISTRY_V1_PROBE,context,75,3,HIGH,6
AW-000006,Pisinger,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000006.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000006.meta.yaml,explicit_combinatorial_problem,offline_batch_queries,one_witness,quantum_counting,"Pisinger Pisinger is included as a named whole-algorithm context card for a classical dynamic programming task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite set or multiset of integers with a target sum parameter. Output semantics: A decision result, feasible subset witness, count, or optimized subset value for the target-sum instance, depending on the row. Classical algorithm summary: Pisinger is a dynamic programming algorithm record. Classical complexity metadata: time O(nt/\log t); space O(t/\log t). The stated classical model is Word RAM. Public metadata/source text adds: Pisinger unknown unknown n: number of elements in the set, t: target sum O(nt/\log t) No public-ready summary is available because the row lacks enough task semantics. Classical steps or pseudocode-level structure: Define subpro",AW-000006:algorithm_wiki_metadata; crossref:f41853efbaf753bb; skipped:2ee4a97772503ad3,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,medium,GENERATE_REGISTRY_V1_PROBE,context,70,3,HIGH,5
AW-000007,Faaland,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000007.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000007.meta.yaml,explicit_combinatorial_problem,offline_batch_queries,one_witness,quantum_counting,"Faaland Faaland is included as a named whole-algorithm context card for a classical dynamic programming task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite set or multiset of integers with a target sum parameter. Output semantics: A decision result, feasible subset witness, count, or optimized subset value for the target-sum instance, depending on the row. Classical algorithm summary: Faaland is a dynamic programming algorithm record. Classical complexity metadata: time O(n' t); space O(t). Public metadata/source text adds: Faaland unknown unknown n': number of distinct elements in the set, t: target sum O(n' t) No public-ready summary is available because the row lacks enough task semantics. Classical steps or pseudocode-level structure: Define subproblems, evaluate recurrence transitions, store table",AW-000007:algorithm_wiki_metadata; crossref:429bb6b9ae306424; failed:85dfbfea546f83e9,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,medium,GENERATE_REGISTRY_V1_PROBE,context,65,3,HIGH,5
AW-000008,Pferschy,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000008.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000008.meta.yaml,explicit_combinatorial_problem,offline_batch_queries,one_witness,quantum_counting,"Pferschy Pferschy is included as a named whole-algorithm context card for a classical dynamic programming task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite set or multiset of integers with a target sum parameter. Output semantics: A decision result, feasible subset witness, count, or optimized subset value for the target-sum instance, depending on the row. Classical algorithm summary: Pferschy is a dynamic programming algorithm record. Classical complexity metadata: time O(n' t); space O(t). Public metadata/source text adds: Pferschy unknown unknown n': number of distinct elements in the set, t: target sum O(n' t) No public-ready summary is available because the row lacks enough task semantics. Classical steps or pseudocode-level structure: Define subproblems, evaluate recurrence transitions, store t",AW-000008:algorithm_wiki_metadata; crossref:bb56616e432499b9; skipped:3c28ce093f7c64e6,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,medium,GENERATE_REGISTRY_V1_PROBE,context,65,3,HIGH,5
AW-000011,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000011.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000011.meta.yaml,explicit_combinatorial_problem,offline_batch_queries,one_witness,quantum_counting,"Serang Serang is included as a named whole-algorithm context card for a classical data structures task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite set or multiset of integers with a target sum parameter. Output semantics: A decision result, feasible subset witness, count, or optimized subset value for the target-sum instance, depending on the row. Classical algorithm summary: Serang is a data structures algorithm record. Classical complexity metadata: time \tilde{O}(n \max(S)); space O(t\log t). Public metadata/source text adds: Serang unknown unknown n: number of elements in the set, S: the set, t: target sum \tilde{O}(n \max(S)) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time \tilde{O}(n \max(S)); space O(t\log t); ",AW-000011:algorithm_wiki_metadata; crossref:e87417444431b72d; source:15c9d3c99a0d3caf,"The source text supports approximate cardinality, marked-fraction, frequency, or count estimation without requiring the full marked set as output.",,finite_search_space; coherent_boolean_oracle; count_precision_specified,medium,GENERATE_REGISTRY_V1_PROBE,context,70,3,HIGH,5
AW-000012,Serang,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000012.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000012.meta.yaml,explicit_combinatorial_problem,adjacency_list_query,one_witness,quantum_counting,"Serang Serang is included as a named whole-algorithm context card for a classical graph task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A finite set or multiset of integers with a target sum parameter. Output semantics: A decision result, feasible subset witness, count, or optimized subset value for the target-sum instance, depending on the row. Classical algorithm summary: Serang is a graph algorithm record. Classical complexity metadata: time \tilde{O}(n \max(S)); space O(t\log t). Public metadata/source text adds: Serang unknown unknown n: number of elements in the set, S: the set, t: target sum \tilde{O}(n \max(S)) No public-ready summary is available because the row lacks enough task semantics. Classical complexity recorded for this row: time \tilde{O}(n \max(S)); space O(t\log t); computation model no",AW-000012:algorithm_wiki_metadata; crossref:bd32e115c96e5e62; failed:6a0c9e778fcaec47,,"The row is dominated by full-output, sorting, traversal, path, or enumeration semantics without a clear isolated subroutine.",finite_search_space; coherent_boolean_oracle; count_precision_specified,high,BLOCK_FULL_OUTPUT,context,65,3,HIGH,5
AW-000014,"Valentin Polishchuk, and Jukka Suomela",corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000014.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000014.meta.yaml,explicit_graph_problem,adjacency_list_query,full_solution,none,"Valentin Polishchuk, and Jukka Suomela Valentin Polishchuk, and Jukka Suomela is included as a named whole-algorithm context card for a classical graph task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: An explicit graph instance with vertices, edges, weights, labels, or local adjacency as required by the named task. Output semantics: Pattern occurrence positions, matches, or the associated string-search report. Classical algorithm summary: Valentin Polishchuk, and Jukka Suomela is a graph algorithm record. Classical complexity metadata: time O(\Delta^2/\epsilon); space O(\Delta^2/\epsilon). The stated classical model is Word RAM. Public metadata/source text adds: Valentin Polishchuk, and Jukka Suomela graph graph n: number of people in set, \Delta: maximum degree of vertex in graph, \epsilon: stability parame",AW-000014:algorithm_wiki_metadata; arxiv:0812.4893,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,2,HIGH,0
AW-000016,Lawrence Gibbs Sampling,corpus\algorithm_wiki\algowiki1901_rich_v1\public_context\AW-000016.yaml,,corpus\algorithm_wiki\algowiki1901_rich_v1\metadata_context\AW-000016.meta.yaml,explicit_numerical_problem,explicit_numeric_parameters,approximation_solution,none,"Lawrence Gibbs Sampling Lawrence Gibbs Sampling is included as a named whole-algorithm context card for a classical randomized sampling task. The task is to analyze the classical input-output problem, not to certify an end-to-end improvement claim. Input semantics: A probability model, data set, or sampler description together with requested estimator parameters. Output semantics: A sample, estimate, or approximate value with the stated randomized or statistical semantics. Classical algorithm summary: Lawrence Gibbs Sampling is a randomized sampling algorithm record. Classical complexity metadata: time O(nm); space O(n + m). The stated classical model is Word RAM. Public metadata/source text adds: Lawrence Gibbs Sampling randomized_sampling randomized_sampling n: number of sequences, m: length of sequences O(nm) Given explicit input data and classical randomness as part of the algorithmi",AW-000016:algorithm_wiki_metadata; failed:2e0c2b897665b152,,No isolated registry-v1 query-subroutine structure was detected.,,low,NO_SIGNAL,context,100,2,HIGH,0
